fips,dm_pop,dr_cases,vtdr_cases,dr_prev_dm,vtdr_prev_dm,vtdr_share_crude,vtdr_share_std,n_strata,dr_cases_6584,vtdr_cases_6584,dm_pop_6584,vtdr_share_6584,glauc_pop,glauc_cases,vag_cases,glauc_share,total_pop,a0_17,a18_39,a40_64,a65_84,a85p,pct_65plus,pct_under40,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_nhpi,pct_hispanic,svi_overall,svi_ses,svi_hhchar,svi_minority,svi_housing,cbsa_ind,rucc_2013,ophth_total,ophth_patient_care,ophth_residents,ophth_teaching,optom_npi,rural_pop_2020,county,state,pop2020,pw_lat,pw_lon,land_area_sqmi,nearest_prog_id,nearest_drive_min,nearest_gc_miles,n_programs,has_program,drive_min,log_drive,pop_density,log_pop_dens,ophth_per_100k,optom_per_100k,any_ophth,rucc,metro,dm_prev
01001,6591,2104,242,31.92231831285086,3.6716734941587017,0.1150190114068441,0.1148084754312201,5,841,93,2460,0.11058263971462544,59759,779,274,0.35173299101412064,58239,13801,16487,19136,7892,923,15.135905492882776,52.00638747231237,73.0970655402737,19.684403921770635,0.16827212005700648,1.110939404866155,0,3.0477858479712907,0.513,0.3838,0.7362,0.6337,0.4309,1,02,0,0,0,0,6,23920,Autauga,Alabama,58805,32.500194,-86.487813,594.4560818852563,1,97.92166666666668,71.77290509682129,0,FALSE,97.92166666666668,4.59432829114317,97.97023156916994,4.584663673028045,0,10.302374697367743,FALSE,2,TRUE,11.317158605058466
01003,25924,5355,892,20.656534485418916,3.4408270328652986,0.16657329598506068,0.1675036570107351,5,2525,402,11547,0.1592079207920792,246435,3535,1216,0.343988684582744,227131,49026,55769,75531,42651,4154,20.607050556727177,46.13857201350762,82.57261228101844,8.694982190894242,0.47373542140879055,0.9575971575874715,0.00396247099691367,4.681879620131114,0.3103,0.3253,0.2724,0.5022,0.3612,1,03,6,6,0,0,32,87113,Baldwin,Alabama,231767,30.537396,-87.761478,1589.836068398013,33,195.3733333333333,143.91574254680967,0,FALSE,195.3733333333333,5.280017609376603,142.86441508958023,4.961896034258238,2.6416473312757836,14.088785766804179,TRUE,3,TRUE,11.413677569332236
01005,4163,1458,339,35.022820081671874,8.14316598606774,0.2325102880658436,0.23335743121713332,5,648,144,1748,0.2222222222222222,24706,461,167,0.36225596529284165,25259,5264,7289,7905,4376,425,19.00708658300012,49.697137653905536,44.60984203650184,47.246525990735975,0.2810879290549903,0.4196524011243517,0.00395898491626746,4.655766261530544,0.9927,0.9567,0.9453,0.8962,0.9949,2,06,0,0,0,0,3,16627,Barbour,Alabama,25223,31.843981,-85.301306,885.0079813686867,20,221.38333333333333,146.21324289649317,0,FALSE,221.38333333333333,5.40440261952032,28.54098554109798,3.3513411433760223,0,11.876954748802406,FALSE,6,FALSE,16.48125420642147
01007,2804,1011,137,36.055634807417974,4.885877318116976,0.13550939663699307,0.1355604538257797,4,399,51,1046,0.12781954887218044,22005,304,107,0.3519736842105263,22412,4612,6702,7504,3281,313,16.036052114938425,50.48188470462252,74.04961627699447,21.88559700160628,0.0936998036766018,0.2052471890058897,0,2.828841691950741,0.8078,0.8008,0.5512,0.6292,0.8622,1,01,0,0,0,0,1,22293,Bibb,Alabama,22293,33.032236,-87.136826,622.4695436922295,1,64.00833333333334,37.99682710950769,0,FALSE,64.00833333333334,4.174515466806267,36.004974423425395,3.5836571073388335,0,4.461895413171515,FALSE,1,TRUE,12.511154738532928
01009,6509,1451,192,22.292210785066832,2.9497618681825166,0.13232253618194348,0.132826415448181,5,644,82,2704,0.12732919254658384,59512,736,253,0.34375,58884,13683,14843,19774,9453,1131,17.97432239657632,48.44439915766592,85.92317098023233,1.266897629237144,0.11887779362815026,0.36682290605257795,0.1256708104069017,9.530602540588276,0.5137,0.5757,0.7225,0.4147,0.2743,1,01,1,1,0,0,4,53510,Blount,Alabama,59134,33.954604,-86.592667,644.8906400578032,1,56.468333333333334,33.28458965444838,0,FALSE,56.468333333333334,4.05123407146111,91.30850463998372,4.514243933755387,1.6982541946878609,6.7930167787514435,TRUE,1,TRUE,11.053936553223286
01011,2139,582,181,27.20897615708275,8.461898083216456,0.31099656357388317,0.3110402535567476,4,238,72,815,0.3025210084033613,10202,208,77,0.3701923076923077,10386,2303,3127,3274,1474,208,16.194877720007703,52.28191796649336,20.373579818987096,68.97746967071058,0,0.4429039091084151,0,8.54997111496245,0.831,0.7183,0.6515,0.9809,0.8501,0,06,0,0,0,0,0,10357,Bullock,Alabama,10357,32.115838,-85.702354,622.8150085986302,1,167.0366666666667,115.2661916505296,0,FALSE,167.0366666666667,5.12418220955758,16.675898712474993,2.81396448614996,0,0,FALSE,6,FALSE,20.595031773541304
01013,3053,845,180,27.677694071405178,5.895840157222405,0.21301775147928995,0.2152086583111838,4,382,78,1297,0.20418848167539264,18650,352,128,0.3636363636363637,19181,4365,4874,5950,3529,463,20.81226213440384,48.16745737969866,50.920181429539646,44.79432772013972,0.24503414837599707,1.459777905218706,0,1.6057556957405763,0.6843,0.7486,0.6887,0.8686,0.2982,0,06,0,0,0,0,2,13228,Butler,Alabama,19051,31.776019,-86.6524,776.8385261042763,1,154.16666666666666,119.78739306024067,0,FALSE,154.16666666666666,5.044499808049012,24.691102919663003,3.206442973062622,0,10.426985037276472,FALSE,6,FALSE,15.916792659402534
01015,14483,3903,699,26.948836567009597,4.826348132293033,0.17909300538047657,0.1796671813073341,5,1704,293,5961,0.17194835680751175,115788,1611,565,0.3507138423339541,116425,25411,33218,37213,18921,1662,17.679192613270345,50.35774103500108,71.35323169422375,21.03500107365257,0.16061842387803307,0.7455443418509771,0.15890057977238567,3.993987545630234,0.7349,0.7533,0.7279,0.6582,0.5197,1,03,3,3,0,0,22,42494,Calhoun,Alabama,116441,33.727215,-85.817974,605.8893166115732,1,84.88666666666667,58.616151053825696,0,FALSE,84.88666666666667,4.453028597695269,192.15555846256711,5.258305244318539,2.5767661584711186,18.896285162121536,TRUE,3,TRUE,12.439768091045737
01017,5571,1331,263,23.89158140369772,4.7208759648178065,0.19759579263711496,0.1968878253524787,5,583,110,2308,0.18867924528301888,34088,620,223,0.3596774193548387,34834,7266,9465,11275,6340,488,19.60153872653155,48.030659700292816,54.81713268645576,40.08440029855888,0.18659929953493712,1.027731526669346,0.00861227536315094,2.715737497846931,0.8074,0.5837,0.5955,0.8421,0.9599,2,06,1,1,0,0,2,17645,Chambers,Alabama,34772,32.85644,-85.25964,596.5608857563443,20,115.445,84.39317117768323,0,FALSE,115.445,4.757419058525754,58.3913575826146,4.0671678922840195,2.870758454383648,5.741516908767296,TRUE,6,FALSE,15.992995349371304
01019,3257,679,79,20.847405587964385,2.4255449800429845,0.11634756995581738,0.11918722956763925,4,333,38,1516,0.11411411411411412,25302,390,134,0.3435897435897436,24975,4847,5671,8747,5155,555,22.862862862862865,42.11411411411411,90.93493493493492,4.62062062062062,0.22822822822822825,0.10810810810810811,0,1.76976976976977,0.3269,0.5029,0.4096,0.2778,0.1792,0,06,0,0,0,0,2,24971,Cherokee,Alabama,24971,34.180501,-85.629887,553.5241047882648,1,112.74,81.82492535726416,0,FALSE,112.74,4.733915141878653,45.1199862552571,3.809325302563363,0,8.008008008008009,FALSE,6,FALSE,13.04104104104104
